factor,ic_mean,ic_ir,ic_std,win_rate,t_stat,n_periods,monotonic,q1,q5,spread,mono_score
a158_low_vwap,0.0869,0.68,0.1285,0.72,4.7821,50,False,-0.003,0.0067,0.0097,5.45
low_volatility,0.0979,0.63,0.156,0.74,4.4375,50,False,-0.0005,0.0075,0.008,1.73
a158_kl_mid_5,0.0408,0.38,0.1082,0.58,2.6705,50,False,-0.0031,0.0075,0.0105,3.36
turnover_stability,0.0315,0.36,0.0876,0.62,2.5449,50,False,0.0027,0.0072,0.0045,-9.89
reversal_20,0.0488,0.36,0.134,0.62,2.5739,50,False,-0.0021,0.0061,0.0081,-16.94
bottom_divergence,0.0156,0.31,0.0506,0.58,2.1783,50,False,0.0046,0.0082,0.0035,-1.71
a158_kl_mid,0.0196,0.18,0.1067,0.6,1.2988,50,False,0.0001,0.0042,0.0041,2.63
bottom_fractal,-0.0087,-0.13,0.0649,0.4,-0.9484,50,False,0.0052,0.0057,0.0005,-0.22
close_position,-0.0137,-0.16,0.0838,0.44,-1.1566,50,False,0.0049,0.0028,-0.0022,1.6
momentum_12_1,-0.0305,-0.23,0.1301,0.4,-1.6567,50,False,0.0019,0.0011,-0.0008,0.48
trend_macd_5dim,-0.0353,-0.31,0.1136,0.34,-2.1964,50,False,0.0049,0.0032,-0.0017,4.8
weekly_deviation,-0.044,-0.4,0.1096,0.42,-2.8359,50,False,0.0074,-0.0033,-0.0107,2.82
volume_reversal,-0.0699,-0.68,0.1024,0.24,-4.8267,50,False,0.0064,-0.0035,-0.0099,2.17
