factor,ic_mean,ic_std,icir,win_rate,t_stat,n_months,ic_pass,ir_pass
turnover_stability,0.054,0.0804,0.6717,0.7691,27.995,1737,True,True
a158_low_vwap,0.0855,0.1353,0.6322,0.762,26.493,1756,True,True
low_volatility,0.0967,0.1712,0.5646,0.7235,23.5232,1736,True,True
reversal_20,0.0788,0.1402,0.5623,0.7195,23.427,1736,True,True
volume_reversal,0.0305,0.0692,0.4408,0.6674,18.4246,1747,True,True
bottom_fractal,0.0356,0.0809,0.4399,0.6678,18.4279,1755,True,True
a158_kl_mid_5,0.0313,0.1267,0.2472,0.5911,10.3594,1756,True,True
weekly_deviation,0.0295,0.1261,0.2341,0.5776,9.7997,1752,True,True
bottom_divergence,0.0074,0.061,0.1217,0.5506,5.0877,1749,False,False
close_position,0.0102,0.1052,0.0974,0.5438,4.0801,1756,True,False
a158_kl_mid,0.0114,0.1175,0.0967,0.5467,4.0511,1756,True,False
ta_beta_60,0.0072,0.0828,0.0867,0.5519,3.5688,1696,False,False
momentum_12_1,0.0089,0.1543,0.0576,0.5262,2.3981,1735,False,False
a360_high_ratio_10,0.0026,0.1276,0.0203,0.5329,0.8475,1747,False,False
a360_cp_ratio_10,0.0005,0.135,0.0035,0.5215,0.1464,1747,False,False
a158_pct_10,-0.0066,0.1144,-0.0575,0.4794,-2.4021,1746,False,False
a158_pct_5,-0.0078,0.1101,-0.071,0.4746,-2.9712,1751,False,False
a360_range_pos_60,-0.0094,0.1101,-0.0852,0.4826,-3.5108,1697,False,False
ta_stoch_d,-0.0227,0.1265,-0.1794,0.4434,-7.501,1748,False,False
a158_vwap_dev_10,-0.0256,0.1317,-0.1947,0.4396,-8.1365,1747,False,False
a360_range_pos_30,-0.0259,0.1071,-0.2419,0.4325,-10.0547,1727,False,False
ta_willr_14,-0.0325,0.1216,-0.2673,0.4068,-11.1608,1743,False,False
ta_ema_10,-0.051,0.1629,-0.3134,0.3663,-13.1006,1747,False,False
ta_sma_5,-0.0524,0.1632,-0.3214,0.367,-13.4526,1752,False,False
ta_ema_5,-0.0526,0.1632,-0.3222,0.3653,-13.4847,1752,False,False
ta_ultosc,-0.039,0.1146,-0.3399,0.3744,-14.1314,1728,False,False
ta_macd_hist,-0.042,0.1178,-0.3566,0.3743,-14.8014,1723,False,False
a158_trend_ma10,-0.0477,0.1284,-0.3718,0.3686,-15.5418,1747,False,False
ta_rsi_6,-0.0483,0.1294,-0.3731,0.3537,-15.6075,1750,False,False
trend_macd_5dim,-0.0502,0.1299,-0.386,0.3326,-16.0521,1729,False,False
a360_vwap_10,-0.0454,0.1136,-0.4002,0.328,-16.7258,1747,False,False
ta_cci_14,-0.0498,0.1222,-0.408,0.3442,-17.0339,1743,False,False
a158_ret_10,-0.0608,0.1297,-0.4689,0.315,-19.5918,1746,False,False
ta_roc_10,-0.0608,0.1297,-0.4689,0.315,-19.5918,1746,False,False
a360_ma5_ma20_cross,-0.068,0.1358,-0.5006,0.3097,-20.8618,1737,False,False
ta_atr_14,-0.0848,0.1678,-0.5053,0.3209,-21.09,1742,False,False
a158_trend_ma20,-0.0694,0.1345,-0.5162,0.2994,-21.5134,1737,False,False
a360_vwap_30,-0.0608,0.1172,-0.5192,0.3144,-21.5775,1727,False,False
ta_rsi_24,-0.0746,0.1437,-0.5193,0.2904,-21.6117,1732,False,False
