factor,q1_low,q2,q3,q4,q5_high,spread,monotonicity,mono_pass
a158_kl_mid,0.007417,0.014519,0.014772,0.014623,0.010108,0.002691,0.5,True
a158_kl_mid_5,0.005847,0.014372,0.014904,0.014926,0.011408,0.005561,0.75,True
a158_low_vwap,0.003238,0.013758,0.016141,0.015316,0.013011,0.009774,0.5,True
a158_pct_10,0.010166,0.013857,0.013773,0.013181,0.009858,-0.000307,0.75,True
a158_pct_5,0.010122,0.013285,0.014069,0.013058,0.010852,0.00073,0.5,True
a158_ret_10,0.013718,0.015456,0.015253,0.013424,0.002943,-0.010775,0.75,True
a158_trend_ma10,0.012409,0.015595,0.015064,0.013886,0.003996,-0.008413,0.75,True
a158_trend_ma20,0.01333,0.015445,0.014663,0.012727,0.0015,-0.01183,0.75,True
a158_vwap_dev_10,0.011891,0.014909,0.014902,0.013182,0.006062,-0.005829,0.75,True
a360_cp_ratio_10,0.010454,0.014687,0.014458,0.012771,0.008575,-0.00188,0.75,True
a360_high_ratio_10,0.010251,0.014486,0.014387,0.01297,0.008851,-0.0014,0.75,True
a360_ma5_ma20_cross,0.013437,0.015224,0.015082,0.012482,0.001441,-0.011997,0.75,True
a360_range_pos_30,0.012847,0.012011,0.011297,0.01023,0.004581,-0.008267,1.0,True
a360_range_pos_60,0.009428,0.009629,0.010594,0.009218,0.005649,-0.003779,0.5,True
a360_vwap_10,0.014703,0.014672,0.01481,0.013484,0.003274,-0.011429,0.75,True
a360_vwap_30,0.014473,0.013778,0.012252,0.010399,6.7e-05,-0.014406,1.0,True
bottom_divergence,0.010841,0.011674,0.011647,0.01382,0.013451,0.00261,0.5,True
bottom_fractal,0.009054,0.010183,0.011409,0.013389,0.017397,0.008343,1.0,True
close_position,0.008912,0.013544,0.014177,0.013829,0.010987,0.002075,0.5,True
low_volatility,0.002809,0.01401,0.016686,0.016289,0.011667,0.008859,0.5,True
momentum_12_1,0.009487,0.014749,0.016272,0.012578,0.008361,-0.001125,0.5,True
reversal_20,0.00167,0.013387,0.015673,0.016173,0.014558,0.012888,0.75,True
ta_atr_14,0.019164,0.016412,0.012505,0.009722,0.002025,-0.017139,1.0,True
ta_beta_60,0.007696,0.009171,0.009289,0.008335,0.010464,0.002768,0.75,True
ta_cci_14,0.012989,0.014668,0.014923,0.012417,0.005222,-0.007768,0.5,True
ta_ema_10,0.019747,0.015075,0.012723,0.009687,0.003688,-0.016059,1.0,True
ta_ema_5,0.019949,0.01533,0.012549,0.009914,0.003597,-0.016353,1.0,True
ta_macd_hist,0.008285,0.01431,0.015442,0.011713,-0.000875,-0.00916,0.5,True
ta_roc_10,0.013718,0.015456,0.015253,0.013424,0.002943,-0.010775,0.75,True
ta_rsi_24,0.011845,0.014006,0.013841,0.012077,0.002069,-0.009775,0.75,True
ta_rsi_6,0.012702,0.014915,0.014739,0.012719,0.006187,-0.006515,0.75,True
ta_sma_5,0.019923,0.015336,0.012549,0.009855,0.003676,-0.016247,1.0,True
ta_stoch_d,0.012179,0.014227,0.013895,0.012606,0.008206,-0.003973,0.75,True
ta_ultosc,0.011977,0.012428,0.012138,0.01061,0.004327,-0.00765,0.75,True
ta_willr_14,0.012026,0.013855,0.014231,0.012414,0.007715,-0.004311,0.5,True
trend_macd_5dim,0.012543,0.013804,0.015548,0.013303,0.006141,-0.006402,0.5,True
turnover_stability,0.008366,0.011302,0.012018,0.014327,0.015424,0.007057,1.0,True
volume_reversal,0.00843,0.012229,0.013388,0.014174,0.013242,0.004812,0.75,True
weekly_deviation,0.006228,0.014234,0.014975,0.015168,0.010853,0.004625,0.75,True
