factor,dimension,max_intra_corr,redundancy_pass
a158_kl_mid,alpha,0.5291,True
a158_kl_mid_5,alpha,0.9881,False
a158_low_vwap,alpha,0.316,True
a158_ret_10,alpha,1.0,False
a158_vwap_dev_10,alpha,0.8685,False
a360_cp_ratio_10,alpha,0.8918,False
a360_high_ratio_10,alpha,0.8918,False
a360_range_pos_30,alpha,0.8433,True
a360_range_pos_60,alpha,0.6854,True
a360_vwap_10,alpha,0.8064,True
a360_vwap_30,alpha,0.8433,True
bottom_divergence,alpha,0.2312,True
bottom_fractal,alpha,0.2168,True
reversal_20,alpha,0.8212,True
ta_cci_14,alpha,0.9349,False
ta_roc_10,alpha,1.0,False
ta_rsi_24,alpha,0.8212,True
ta_rsi_6,alpha,0.9349,False
ta_stoch_d,alpha,0.8019,True
ta_ultosc,alpha,0.8064,True
ta_willr_14,alpha,0.9259,False
volume_reversal,alpha,0.3527,True
weekly_deviation,alpha,0.9881,False
a158_pct_10,risk,0.9002,False
a158_pct_5,risk,0.9002,False
close_position,risk,0.7069,True
low_volatility,risk,0.7505,True
ta_atr_14,risk,0.7505,True
ta_beta_60,risk,0.176,True
turnover_stability,risk,0.3746,True
a158_trend_ma10,trend,0.8247,True
a158_trend_ma20,trend,0.886,False
a360_ma5_ma20_cross,trend,0.886,False
momentum_12_1,trend,0.4828,True
ta_ema_10,trend,0.9958,False
ta_ema_5,trend,0.9989,False
ta_macd_hist,trend,0.8132,True
ta_sma_5,trend,0.9989,False
trend_macd_5dim,trend,0.3343,True
